cycle,chI,chV,chT,disI,disV,BCt,SOH,battery_id,RUL
1,0.03678802373334656,0.717269354935227,0.4546580821113072,0.9860878415300547,0.6043041950082758,0.9402786810116844,1.0,B18,131
2,0.0400968637154907,0.7201894219483158,0.46248793544336003,0.9845064917127071,0.6057947986461554,0.920714410769429,0.9792307479290104,B18,130
3,0.03783146339958751,0.7215558547710249,0.43108828972497226,0.9857090782122905,0.6076881711240634,0.914760648967814,0.9729102883311209,B18,129
4,0.04075775805834597,0.7213360686643573,0.40548624773573216,0.9842039436619718,0.6051551483530507,0.8999689967257627,0.9572076042975473,B18,128
5,0.04312042556367754,0.7233268825201247,0.46396387985620957,0.9828005649717515,0.6044925160190567,0.9033265235764416,0.9607719243888868,B18,127
6,0.04373212225652263,0.7243027800275036,0.467560641083406,0.9826153846153847,0.6054959135684013,0.8964157815215745,0.953435543222718,B18,126
7,0.04690760115045821,0.7252684152696977,0.44749209574101345,0.9810175287356323,0.604332865339512,0.8842757918138966,0.940547840116194,B18,125
8,0.047079744302938105,0.7241860873652337,0.42960512563268244,0.980864347826087,0.6033494667116901,0.8742837752596789,0.9299404058524914,B18,124
9,0.04738426422780233,0.7236515327312877,0.4204653292675485,0.9807134502923976,0.602075617379528,0.8562719087409536,0.9108191715123296,B18,123
10,0.04436150035731082,0.7235133997899519,0.42152123779000267,0.9822419825072886,0.6042107661072027,0.8874219837092245,0.9438878089332595,B18,122
11,0.047713792912756965,0.7243233758404654,0.4412183823533799,0.9805967647058823,0.6031066133207814,0.8692396073313663,0.9245855628711643,B18,121
12,0.05113388580182284,0.7242741910640724,0.43078424243413177,0.978906231454006,0.6017181211428348,0.8569239734574313,0.9115113975087725,B18,120
13,0.05457423428444564,0.7238963713960956,0.4092447286640106,0.9772172155688623,0.5997860715377905,0.8339827977991673,0.8871572532370255,B18,119
14,0.054858955090183306,0.7227858824577218,0.39099481636107897,0.9770364048338368,0.5979078780932283,0.8217667114599828,0.8741887666357976,B18,118
15,0.05451906965000298,0.7227381601104973,0.4057170760506329,0.9770183333333333,0.5978704436694552,0.8175716961152785,0.8697353763453869,B18,117
16,0.05818297752832479,0.7227611866248528,0.43803404335049767,0.9752645259938838,0.5960625381903135,0.8014524507319698,0.8526233314587345,B18,116
17,0.05877160593582863,0.7233590463351904,0.44151741187582083,0.9750638461538462,0.5966500715100386,0.7971803483948634,0.8480881063154632,B18,115
18,0.06532557532950499,0.7227594372638699,0.42052462836592414,0.971811145510836,0.5926238699763267,0.7723295778285336,0.8217067533869156,B18,114
19,0.0659224560915866,0.72026572703266,0.3933629703904514,0.97154234375,0.5907161979289245,0.7600520076925045,0.8086729961438934,B18,113
20,0.0632841319383135,0.7193190066310756,0.37562054022048064,0.9728501577287066,0.592183872545999,0.7458786956482802,0.7936267364632485,B18,112
21,0.0664942140907877,0.719578664099086,0.3683792987474177,0.971110634920635,0.5894832397538917,0.7356930388103764,0.7828137354284275,B18,111
22,0.07616960213103777,0.7172055932513272,0.37604774686520037,0.9662445859872612,0.5826406513034914,0.6977180674531201,0.7424998498226166,B18,110
23,0.07361405523086338,0.7180931237259206,0.37404506390653613,0.9675263665594857,0.584486306216178,0.702481103737341,0.7475562459971383,B18,109
24,0.0741642026121979,0.7178400178040523,0.36953137785636786,0.967315857605178,0.5833209565395551,0.6959075099144584,0.740577778340069,B18,108
25,0.06369780343504362,0.7191633449495156,0.37465854535064247,0.9724818910256411,0.5908524479364677,0.765052779608383,0.8139817703115124,B18,107
26,0.06697583749303068,0.719229097435992,0.41350095177659835,0.9707025806451612,0.5888899854994345,0.7377689859046892,0.7850175420592878,B18,106
27,0.07401167550366153,0.7207845257595283,0.43619039805126525,0.9672568181818182,0.5854647235560392,0.7203097647771433,0.766482991060398,B18,105
28,0.07771018519061239,0.7196685292825766,0.4345169103590642,0.9653903594771241,0.5831791255766448,0.7031045995257668,0.7482181434783461,B18,104
29,0.07828841326379048,0.7170556845159676,0.423394332705086,0.9651541118421053,0.5813473139190646,0.6822655196993189,0.726095565100331,B18,103
30,0.08186503166195655,0.7179548001799119,0.4144468052831128,0.9632700331125829,0.5798442640964216,0.6735988643522086,0.7168951222886305,B18,102
31,0.08559098687262519,0.7173796268233049,0.4175779727505677,0.9613935,0.5769231976151251,0.6534962457211394,0.6955543644445745,B18,101
32,0.08603665523885987,0.7165269472416058,0.4340337986837421,0.9611451342281879,0.5760976526652145,0.6453357952840966,0.6868913041800675,B18,100
