cycle,chI,chV,chT,disI,disV,BCt,SOH,battery_id,RUL
1,0.9939124950123556,0.9832417156416043,0.07024423113666838,0.49985,0.0,0.9427354414227829,1.0,B5,167
1,0.9955935284003664,0.9829441788482832,0.07003555762816867,0.49985,0.9898799717580609,0.9427354414227829,1.0,B5,167
1,0.008136211655999459,0.8964647680603355,0.07329398911644451,0.00045000000000000595,0.7206401506236761,0.9427354414227829,1.0,B5,167
1,0.00742372918387389,0.8871893414832208,0.0813335702717861,0.00045000000000000595,0.7131089668157213,0.9427354414227829,1.0,B5,167
1,0.00881613491619813,0.880233346586906,0.09097240442117048,0.00045000000000000595,0.7086373264297483,0.9427354414227829,1.0,B5,167
1,0.007901357007954371,0.8745072423160148,0.10018765454277909,0.00045000000000000595,0.7039303365497765,0.9427354414227829,1.0,B5,167
1,0.007217357755177279,0.8696380542609967,0.11031376164696588,0.00045000000000000595,0.7006354436337963,0.9427354414227829,1.0,B5,167
1,0.008590616645447339,0.8652844876871624,0.12121800048517462,0.00045000000000000595,0.6982819486938103,0.9427354414227829,1.0,B5,167
1,0.005442320917842532,0.8614551567747516,0.13115491731338033,0.00045000000000000595,0.6963991527418216,0.9427354414227829,1.0,B5,167
1,0.007838445276037047,0.8580429051408487,0.14118354761698235,0.00045000000000000595,0.6945163567898329,0.9427354414227829,1.0,B5,167
1,0.007824967515977306,0.854861147220717,0.15066599046512927,0.00045000000000000595,0.6926335608378442,0.9427354414227829,1.0,B5,167
1,0.007889765908414224,0.851842150627863,0.16051005420210732,0.00045000000000000595,0.6907507648858555,0.9427354414227829,1.0,B5,167
1,0.007555745427821916,0.8491104344793724,0.1696255538806531,0.00045000000000000595,0.6895740174158627,0.9427354414227829,1.0,B5,167
1,0.007339875799814865,0.8464477176162503,0.17904557330425708,0.00045000000000000595,0.6883972699458696,0.9427354414227829,1.0,B5,167
1,0.007676788303917375,0.8439753845146573,0.1880613164652147,0.00045000000000000595,0.6883972699458696,0.9427354414227829,1.0,B5,167
1,0.00807851126886729,0.8415101595701246,0.19684467971373582,0.00045000000000000595,0.6869851729818781,0.9427354414227829,1.0,B5,167
1,0.0077036383464850694,0.8392068573526982,0.20594011125564218,0.00045000000000000595,0.6855730760178865,0.9427354414227829,1.0,B5,167
1,0.007833168667290457,0.8369940543453116,0.2148408424031229,0.00045000000000000595,0.6841609790538951,0.9427354414227829,1.0,B5,167
1,0.008375353327329183,0.83486341362771,0.22393176710921037,0.00045000000000000595,0.6829842315839022,0.9427354414227829,1.0,B5,167
1,0.007186131145693108,0.8327806994949664,0.23214309236237965,0.00045000000000000595,0.6818074841139091,0.9427354414227829,1.0,B5,167
1,0.007835854576724768,0.830697675683996,0.24005255961629662,0.00045000000000000595,0.6806307366439163,0.9427354414227829,1.0,B5,167
1,0.009757490510014224,0.8287510146709866,0.24818748507454855,0.00045000000000000595,0.6794539891739233,0.9427354414227829,1.0,B5,167
1,0.007086490610222203,0.8268619163287039,0.25623661890035343,0.00045000000000000595,0.6782772417039304,0.9427354414227829,1.0,B5,167
1,0.0077974084759279754,0.8249276488904241,0.2638616024811446,0.00045000000000000595,0.6771004942339374,0.9427354414227829,1.0,B5,167
1,0.008634152647394259,0.8229870836209253,0.2718426394608893,0.00045000000000000595,0.6759237467639445,0.9427354414227829,1.0,B5,167
1,0.008296304519057433,0.8210545320168788,0.27934557350180705,0.00045000000000000595,0.6747469992939515,0.9427354414227829,1.0,B5,167
1,0.00748560567245068,0.8192271186152198,0.2867694107055752,0.00045000000000000595,0.6738056013179572,0.9427354414227829,1.0,B5,167
1,0.008331078105473337,0.8172692088421205,0.29417410533224325,0.00045000000000000595,0.6726288538479643,0.9427354414227829,1.0,B5,167
1,0.009033097372130358,0.81535873467114,0.30196334660047425,0.00045000000000000595,0.6714521063779714,0.9427354414227829,1.0,B5,167
1,0.008353381310788688,0.8135685479888125,0.3079558605910945,0.00045000000000000595,0.670510708401977,0.9427354414227829,1.0,B5,167
1,0.008251308076771423,0.8116824909339411,0.3150673622843461,0.00045000000000000595,0.6695693104259827,0.9427354414227829,1.0,B5,167
1,0.007675808668549178,0.8097925657244414,0.3209622407867488,0.00045000000000000595,0.6683925629559897,0.9427354414227829,1.0,B5,167
1,0.007615913309875814,0.8080707014170887,0.3265326623635333,0.00045000000000000595,0.6672158154859967,0.9427354414227829,1.0,B5,167
1,0.007979708669502282,0.8062343774101582,0.33222929940349055,0.00045000000000000595,0.6662744175100024,0.9427354414227829,1.0,B5,167
1,0.008186315547556002,0.8044475923770182,0.33719863668222533,0.00045000000000000595,0.665333019534008,0.9427354414227829,1.0,B5,167
1,0.00817189552600189,0.8027795803014824,0.3420914627871673,0.00045000000000000595,0.6643916215580137,0.9427354414227829,1.0,B5,167
1,0.007715668275422811,0.8010549527194416,0.3466221223579953,0.00045000000000000595,0.6634502235820193,0.9427354414227829,1.0,B5,167
1,0.008086848245385978,0.7993655999516046,0.35102613550636463,0.00045000000000000595,0.662508825606025,0.9427354414227829,1.0,B5,167
1,0.006674439278742266,0.7977110878669128,0.35476424925456146,0.00045000000000000595,0.6613320781360321,0.9427354414227829,1.0,B5,167
1,0.008724775754981814,0.796181093092334,0.3584721561969179,0.00045000000000000595,0.6606260296540363,0.9427354414227829,1.0,B5,167
1,0.008946035314067303,0.7946259047971755,0.3621580553134429,0.00045000000000000595,0.6596846316780419,0.9427354414227829,1.0,B5,167
1,0.00790651145875357,0.7929265795266289,0.3647609320405669,0.00045000000000000595,0.6587432337020476,0.9427354414227829,1.0,B5,167
1,0.009005493862758444,0.7914775641636961,0.3679482660717089,0.00045000000000000595,0.6578018357260532,0.9427354414227829,1.0,B5,167
1,0.007560277140622072,0.7897292841330006,0.37022820025178615,0.00045000000000000595,0.6568604377500589,0.9427354414227829,1.0,B5,167
1,0.00881572223187073,0.7882727887283395,0.3727206713113947,0.00045000000000000595,0.6559190397740645,0.9427354414227829,1.0,B5,167
1,0.008310153148171193,0.7866266719047968,0.37535798098685486,0.00045000000000000595,0.6549776417980702,0.9427354414227829,1.0,B5,167
1,0.008240503133050294,0.7850543968357032,0.3775625171767004,0.00045000000000000595,0.6540362438220758,0.9427354414227829,1.0,B5,167
1,0.008389550447376992,0.7835648365239498,0.3803680584147008,0.00045000000000000595,0.6530948458460815,0.9427354414227829,1.0,B5,167
1,0.008356161832217279,0.7820175294580394,0.3830251030363967,0.00045000000000000595,0.6523887973640857,0.9427354414227829,1.0,B5,167
1,0.009028506532130956,0.7804302513049368,0.38490006152984435,0.00045000000000000595,0.6514473993880913,0.9427354414227829,1.0,B5,167
1,0.007735643226939757,0.7789397465662877,0.38757022967105376,0.00045000000000000595,0.6507413509060956,0.9427354414227829,1.0,B5,167
1,0.008871549114060424,0.7774569382325823,0.3900156123711612,0.00045000000000000595,0.6497999529301013,0.9427354414227829,1.0,B5,167
1,0.008059922731946025,0.7759625635667526,0.3922882165104804,0.00045000000000000595,0.6488585549541069,0.9427354414227829,1.0,B5,167
1,0.00866998614040585,0.7744563122703108,0.39480337366744955,0.00045000000000000595,0.6479171569781126,0.9427354414227829,1.0,B5,167
